"","quantile_p","arm_type","replication","strategy","num_rounds","chosen_arm"
"482",0.1,"uniform",17,"LUCB DKW",74889,0
"483",0.1,"uniform",17,"LUCB Stitched",11009,0
"484",0.1,"uniform",17,"QPAC",108900,0
"485",0.1,"uniform",17,"QPAC BB",8650,0
"486",0.1,"uniform",17,"Doubled Max-Q",1175552,0
"487",0.1,"uniform",18,"LUCB BB",6782,0
"488",0.1,"uniform",18,"LUCB DKW",78532,0
"489",0.1,"uniform",18,"LUCB Stitched",11373,0
"490",0.1,"uniform",18,"QPAC BB",15250,0
"491",0.1,"uniform",18,"QPAC",107900,0
"492",0.1,"uniform",18,"Doubled Max-Q",1204224,0
"493",0.1,"uniform",19,"LUCB BB",7500,0
"494",0.1,"uniform",19,"LUCB DKW",66751,0
